It	Claim-B
a	Premise-I
better	Premise-I
job	Premise-I
and	Premise-I
that	Premise-I
public	Premise-I
schools	Premise-I
would	Premise-I
therefore	Premise-I
do	Premise-I
better	Premise-I
in	Premise-I
quantitative	Premise-I
comparisons	Premise-I
?	Premise-I
I	O
know	O
that	O
there	O
are	O
some	O
very	O
competent	O
and	O
dedicated	O
private	O
school	O
teachers	O
,	O
but	O
in	O
general	O
,	O
how	O
could	O
they	O
outperform	O
public	O
school	O
teachers	O
,	O
who	O
make	O
so	O
much	O
more	O
money	O
?	O
Thus	Premise-B
my	Premise-I
lack	Premise-I
of	Premise-I
surprise	Premise-I
to	Premise-I
learn	Premise-I
that	Premise-I
public	Premise-I
school	Premise-I
students	Premise-I
outperform	Premise-I
private	Premise-I
school	Premise-I
students	Premise-I
on	Premise-I
a	Premise-I
level	Premise-I
playing	Premise-I
field	Premise-I
and	Premise-I
that	Premise-I
public	Premise-I
schools	Premise-I
and	Premise-I
their	Premise-I
teachers	Premise-I
are	Premise-I
more	Premise-I
open	Premise-I
to	Premise-I
innovations	Premise-I
and	Premise-I
trying	Premise-I
new	Premise-I
learning	Premise-I
techniques	Premise-I
.	Premise-I
Nor	O
was	O
I	O
surprised	O
that	O
the	O
news	O
media	O
has	O
ignored	O
the	O
Lubienski	O
book	O
.	O
One	O
of	O
the	O
ideological	O
tenets	O
of	O
the	O
mass	O
media	O
is	O
that	O
the	O
private	O
sector	O
always	O
outperforms	O
the	O
public	O
sector	O
.	O
In	O
the	O
case	O
of	O
education	O
,	O
it	O
’	O
s	O
just	O
not	O
so	O
,	O
but	O
the	O
news	O
media	O
filters	O
out	O
this	O
important	O
news	O
for	O
ideological	O
reasons	O
.	O
The	O
news	O
media	O
,	O
owned	O
as	O
they	O
are	O
by	O
large	O
companies	O
,	O
have	O
come	O
to	O
share	O
big	O
business	O
’	O
disdain	O
for	O
unions	O
,	O
especially	O
over	O
the	O
past	O
thirty	O
years	O
.	O
The	O
news	O
media	O
will	O
certainly	O
give	O
fair	O
coverage	O
to	O
both	O
sides	O
of	O
most	O
labor	O
disputes	O
,	O
but	O
in	O
feature	O
coverage	O
they	O
give	O
far	O
greater	O
voice	O
to	O
anti-union	O
pundits	O
,	O
writers	O
,	O
politicians	O
,	O
theories	O
and	O
events	O
than	O
to	O
those	O
in	O
support	O
of	O
unions	O
.	O
Weakening	O
unions	O
is	O
one	O
key	O
strategy	O
in	O
the	O
thirty-year	O
class	O
war	O
in	O
which	O
wealth	O
has	O
been	O
transferred	O
from	O
the	O
middle	O
class	O
and	O
poor	O
up	O
the	O
economic	O
ladder	O
to	O
the	O
wealthy	O
.	O
Charter	O
schools	O
,	O
vouchers	O
for	O
private	O
schools	O
,	O
school	O
and	O
school	O
district	O
takeovers	O
—	O
virtually	O
all	O
right-wing	O
school	O
reform	O
efforts	O
attack	O
public	O
school	O
teachers	O
because	O
they	O
are	O
unionized	O
and	O
therefore	O
make	O
a	O
decent	O
wage	O
.	O
As	O
supporters	O
of	O
this	O
campaign	O
against	O
public	O
teachers	O
unions	O
,	O
it	O
only	O
makes	O
sense	O
that	O
the	O
news	O
media	O
ignores	O
important	O
books	O
such	O
as	O
The	O
Public	O
School	O
Advantage	O
:	O
Why	O
Public	O
Schools	O
Outperform	O
Private	O
Schools	O
.	O
