You	Claim-B
to	Backing-I
a	Backing-I
terrible	Backing-I
public	Backing-I
school	Backing-I
.	Backing-I
My	Backing-I
high	Backing-I
school	Backing-I
didn	Backing-I
’	Backing-I
t	Backing-I
offer	Backing-I
AP	Backing-I
classes	Backing-I
,	Backing-I
and	Backing-I
in	Backing-I
four	Backing-I
years	Backing-I
,	Backing-I
I	Backing-I
only	Backing-I
had	Backing-I
to	Backing-I
read	Backing-I
one	Backing-I
book	Backing-I
.	Backing-I
There	Backing-I
wasn	Backing-I
’	Backing-I
t	Backing-I
even	Backing-I
soccer	Backing-I
.	Backing-I
This	Backing-I
is	Backing-I
not	Backing-I
a	Backing-I
humblebrag	Backing-I
!	Backing-I
I	Backing-I
left	Backing-I
home	Backing-I
woefully	Backing-I
unprepared	Backing-I
for	Backing-I
college	Backing-I
,	Backing-I
and	Backing-I
without	Backing-I
that	Backing-I
preparation	Backing-I
,	Backing-I
I	Backing-I
left	Backing-I
college	Backing-I
without	Backing-I
having	Backing-I
learned	Backing-I
much	Backing-I
there	Backing-I
either	Backing-I
.	Backing-I
You	Backing-I
know	Backing-I
all	Backing-I
those	Backing-I
important	Backing-I
novels	Backing-I
that	Backing-I
everyone	Backing-I
’	Backing-I
s	Backing-I
read	Backing-I
?	Backing-I
I	Backing-I
haven	Backing-I
’	Backing-I
t	Backing-I
.	Backing-I
I	Backing-I
know	Backing-I
nothing	Backing-I
about	Backing-I
poetry	Backing-I
,	Backing-I
very	Backing-I
little	Backing-I
about	Backing-I
art	Backing-I
,	Backing-I
and	Backing-I
please	Backing-I
don	Backing-I
’	Backing-I
t	Backing-I
quiz	Backing-I
me	Backing-I
on	Backing-I
the	Backing-I
dates	Backing-I
of	Backing-I
the	Backing-I
Civil	Backing-I
War	Backing-I
.	Backing-I
I	Backing-I
’	Backing-I
m	Backing-I
not	Backing-I
proud	Backing-I
of	Backing-I
my	Backing-I
ignorance	Backing-I
.	Backing-I
But	Backing-I
guess	Backing-I
what	Backing-I
the	Backing-I
horrible	Backing-I
result	Backing-I
is	Backing-I
?	Backing-I
I	Backing-I
’	Backing-I
m	Backing-I
doing	Backing-I
fine	Backing-I
.	Backing-I
I	Backing-I
’	Backing-I
m	Backing-I
not	Backing-I
saying	Backing-I
it	Backing-I
’	Backing-I
s	Backing-I
a	Backing-I
good	Backing-I
thing	Backing-I
that	Backing-I
I	Backing-I
got	Backing-I
a	Backing-I
lame	Backing-I
education	Backing-I
.	Backing-I
I	Backing-I
’	Backing-I
m	Backing-I
saying	Backing-I
that	Backing-I
I	Backing-I
survived	Backing-I
it	Backing-I
,	Backing-I
and	Backing-I
so	Backing-I
will	Backing-I
your	Backing-I
child	Backing-I
,	Backing-I
who	Backing-I
must	Backing-I
endure	Backing-I
having	Backing-I
no	Backing-I
AP	Backing-I
calculus	Backing-I
so	Backing-I
that	Backing-I
in	Backing-I
25	Backing-I
years	Backing-I
there	Backing-I
will	Backing-I
be	Backing-I
AP	Backing-I
calculus	Backing-I
for	Backing-I
all	Backing-I
.	Backing-I
By	O
the	O
way	O
:	O
My	O
parents	O
didn	O
’	O
t	O
send	O
me	O
to	O
this	O
shoddy	O
school	O
because	O
they	O
believed	O
in	O
public	O
ed	O
.	O
They	O
sent	O
me	O
there	O
because	O
that	O
’	O
s	O
where	O
we	O
lived	O
,	O
and	O
they	O
weren	O
’	O
t	O
too	O
worried	O
about	O
it	O
.	O
(	O
Can	O
you	O
imagine	O
?	O
)	O
Take	O
two	O
things	O
from	O
this	O
on	O
your	O
quest	O
to	O
become	O
a	O
better	O
person	O
:	O
1	O
)	O
Your	O
child	O
will	O
probably	O
do	O
just	O
fine	O
without	O
“	O
the	O
best	O
,	O
”	O
so	O
don	O
’	O
t	O
freak	O
out	O
too	O
much	O
,	O
but	O
2	O
)	O
do	O
freak	O
out	O
a	O
little	O
more	O
than	O
my	O
parents	O
did—enough	O
to	O
get	O
involved	O
.	O
Also	Premise-B
remember	Premise-I
that	Premise-I
there	Premise-I
’	Premise-I
s	Premise-I
more	Premise-I
to	Premise-I
education	Premise-I
than	Premise-I
what	Premise-I
’	Premise-I
s	Premise-I
taught	Premise-I
.	Premise-I
As	Premise-I
rotten	Premise-I
as	Premise-I
my	Premise-I
school	Premise-I
’	Premise-I
s	Premise-I
English	Premise-I
,	Premise-I
history	Premise-I
,	Premise-I
science	Premise-I
,	Premise-I
social	Premise-I
studies	Premise-I
,	Premise-I
math	Premise-I
,	Premise-I
art	Premise-I
,	Premise-I
music	Premise-I
,	Premise-I
and	Premise-I
language	Premise-I
programs	Premise-I
were	Premise-I
,	Premise-I
going	Premise-I
to	Premise-I
school	Premise-I
with	Premise-I
poor	Premise-I
kids	Premise-I
and	Premise-I
rich	Premise-I
kids	Premise-I
,	Premise-I
black	Premise-I
kids	Premise-I
and	Premise-I
brown	Premise-I
kids	Premise-I
,	Premise-I
smart	Premise-I
kids	Premise-I
and	Premise-I
not-so-smart	Premise-I
ones	Premise-I
,	Premise-I
kids	Premise-I
with	Premise-I
superconservative	Premise-I
Christian	Premise-I
parents	Premise-I
and	Premise-I
other	Premise-I
upper-middle-class	Premise-I
Jews	Premise-I
like	Premise-I
me	Premise-I
was	Premise-I
its	Premise-I
own	Premise-I
education	Premise-I
and	Premise-I
life	Premise-I
preparation	Premise-I
.	Premise-I
Reading	O
Walt	O
Whitman	O
in	O
ninth	O
grade	O
changed	O
the	O
way	O
you	O
see	O
the	O
world	O
?	O
Well	O
,	O
getting	O
drunk	O
before	O
basketball	O
games	O
with	O
kids	O
who	O
lived	O
at	O
the	O
trailer	O
park	O
near	O
my	O
house	O
did	O
the	O
same	O
for	O
me	O
.	O
In	O
fact	O
it	O
’	O
s	O
part	O
of	O
the	O
reason	O
I	O
feel	O
so	O
strongly	O
about	O
public	O
schools	O
.	O
Many	Rebuttal-B
of	Rebuttal-I
my	Rebuttal-I
(	Rebuttal-I
morally	Rebuttal-I
bankrupt	Rebuttal-I
)	Rebuttal-I
colleagues	Rebuttal-I
send	Rebuttal-I
their	Rebuttal-I
children	Rebuttal-I
to	Rebuttal-I
private	Rebuttal-I
schools	Rebuttal-I
.	Rebuttal-I
I	Rebuttal-I
asked	Rebuttal-I
them	Rebuttal-I
to	Rebuttal-I
tell	Rebuttal-I
me	Rebuttal-I
why	Rebuttal-I
.	Rebuttal-I
Here	Rebuttal-I
is	Rebuttal-I
the	Rebuttal-I
response	Rebuttal-I
that	Rebuttal-I
most	Rebuttal-I
stuck	Rebuttal-I
with	Rebuttal-I
me	Rebuttal-I
:	Rebuttal-I
“	Rebuttal-I
In	Rebuttal-I
our	Rebuttal-I
upper-middle-class	Rebuttal-I
world	Rebuttal-I
,	Rebuttal-I
it	Rebuttal-I
is	Rebuttal-I
hard	Rebuttal-I
not	Rebuttal-I
to	Rebuttal-I
pay	Rebuttal-I
for	Rebuttal-I
something	Rebuttal-I
if	Rebuttal-I
you	Rebuttal-I
can	Rebuttal-I
and	Rebuttal-I
you	Rebuttal-I
think	Rebuttal-I
it	Rebuttal-I
will	Rebuttal-I
be	Rebuttal-I
good	Rebuttal-I
for	Rebuttal-I
your	Rebuttal-I
kid	Rebuttal-I
.	Rebuttal-I
”	Rebuttal-I
I	O
get	O
it	O
:	O
You	O
want	O
an	O
exceptional	O
arts	O
program	O
and	O
computer	O
animation	O
and	O
maybe	O
even	O
Mandarin	O
.	O
You	O
want	O
a	O
cohesive	O
educational	O
philosophy	O
.	O
You	O
want	O
creativity	O
,	O
not	O
teaching	O
to	O
the	O
test	O
.	O
You	O
want	O
great	O
outdoor	O
space	O
and	O
small	O
classrooms	O
and	O
personal	O
attention	O
.	O
You	O
know	O
who	O
else	O
wants	O
those	O
things	O
?	O
Everyone	O
.	O
Whatever	O
you	O
think	O
your	O
children	O
need—deserve—from	O
their	O
school	O
experience	O
,	O
assume	O
that	O
the	O
parents	O
at	O
the	O
nearby	O
public	O
housing	O
complex	O
want	O
the	O
same	O
.	O
No	O
,	O
don	O
’	O
t	O
just	O
assume	O
it	O
.	O
Do	O
something	O
about	O
it	O
.	O
Send	O
your	O
kids	O
to	O
school	O
with	O
their	O
kids	O
.	O
Use	O
the	O
energy	O
you	O
have	O
otherwise	O
directed	O
at	O
fighting	O
to	O
get	O
your	O
daughter	O
a	O
slot	O
at	O
the	O
competitive	O
private	O
school	O
to	O
fight	O
for	O
more	O
computers	O
at	O
the	O
public	O
school	O
.	O
Use	O
your	O
connections	O
to	O
power	O
and	O
money	O
and	O
innovation	O
to	O
make	O
your	O
local	O
school—the	O
one	O
you	O
are	O
now	O
sending	O
your	O
child	O
to—better	O
.	O
Don	O
’	O
t	O
just	O
acknowledge	O
your	O
liberal	O
guilt—listen	O
to	O
it	O
.	O
